"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\marti\Desktop\Platformer_v2\Bomb.py", "Python", 26, 0, 15, 41
"c:\Users\marti\Desktop\Platformer_v2\Bullet.py", "Python", 39, 0, 18, 57
"c:\Users\marti\Desktop\Platformer_v2\Camera.py", "Python", 13, 5, 7, 25
"c:\Users\marti\Desktop\Platformer_v2\Cell.py", "Python", 20, 0, 8, 28
"c:\Users\marti\Desktop\Platformer_v2\Display.py", "Python", 6, 0, 1, 7
"c:\Users\marti\Desktop\Platformer_v2\Enemy.py", "Python", 49, 0, 19, 68
"c:\Users\marti\Desktop\Platformer_v2\GameObject.py", "Python", 85, 0, 33, 118
"c:\Users\marti\Desktop\Platformer_v2\Main.py", "Python", 45, 0, 16, 61
"c:\Users\marti\Desktop\Platformer_v2\Maze.py", "Python", 82, 4, 51, 137
"c:\Users\marti\Desktop\Platformer_v2\Mediator.py", "Python", 23, 1, 6, 30
"c:\Users\marti\Desktop\Platformer_v2\Missile.py", "Python", 46, 3, 29, 78
"c:\Users\marti\Desktop\Platformer_v2\Particle.py", "Python", 8, 0, 4, 12
"c:\Users\marti\Desktop\Platformer_v2\Player.py", "Python", 128, 0, 57, 185
"Total", "-", 570, 13, 264, 847
